ItemNumber,sentence,checkNoteRelevant
6585,"CHECK IN AS THREE BOARDS: 6586, 6585, AND 6584.",
6585,FREQUENT BACKORDER 5mos Korg's KLM2949/50/51 is set #510C90172949,
6586,"Korg sells KLM2949/50/51 as a set # 510C90172949  ***THREE BOARDS COME UNDER THIS PART NUMBER, 6586, 6585, AND 6584 *** ***IF BOARD COMES WITH BLUE COVERING OVER CONTACTS, IT MUST HAVE PAPERWORK PACKAGED WITH BOARD - 6584-6585-6586.pdf (in Syntaur Documents folder)*** Overstock on U6 top shelf upstairs",
6591," 12.20.21-1.3.22 Backordered.MM  12.27.21 Price increase from $2.50 to $3.50, so increased price by $1.MM",
6592,FREQUENT BACKORDER 7 mos.,
6592,"2.17.25 Backordered, so raised min from 10 to 20",
6593,Frequent backorder 6 mos,
6594,Frequent backorder.,
6594,"7.14.23  Canceled 5-21889.MM  12.21.23 Korg shows none on backorder, shipped 2-21973.",
6594,"We show ordered 26-21907 and rec'd twenty, so changed on order from 6 to zero.MM",
6595,FREQUENT BACKORDER 4+ mos.,
6595,7/23/20 Sold 15 this year.MM,
6596,Frequent Backorder 4+ mos.,
6597,Frequent Backorder 4 mos,
6616,Can sub #8268,
6617,Change to NEW when restocking.,
6617,available at YA 10.27.23 KM,
6618,"Identical to #6974 except for color, also can sub #5703",
6622,Roland FP-9?,
6622,Not sure if it needs Type A or B. SM,
6624,9/10/22 bought from xinye0616 on eBay.,
6624,7/26/24 - Bought 40 on eBay.,
6638, one missing 8/9/22 KM.,
6638,11.9.23 Roland has one  11.9.23  7-21957 canceled by CAE.,
6638,1.2.24 9-22162 canceled by CAE.,
6638,1.4.24 Roland shows -6.,
6638,"3.8.24 Ordered 20, CAE canceled 11.",
6638,4.3.24 Roland shows -1.,
6638,5.29.24-12.7.24 Roland shows -2.,
6638,8.24.24 Roland shows -6.,
6638,10.29.24 Roland shows -11,
6648,"Identical to 3028, but with recessed inner face",
6653,REDO THIS PICTURE WHEN AVAILABLE,
6660,Re-do photo,
6666,Overstock in U1,
6674,What is pitch?,
6675,Same as #10191?,
6679,"W5/W7 uses EME-213YV, not sure if these are interchangeable.",
6679,SM,
6681,"*** THIS PHOTO IS UPSIDE DOWN, AND NEEDS TO BE REPLACED",
6682,REPLACE PIC - This photo is oriented upside-down.,
6692,"Same as #2469, but #2469 has Orchestral Plus ROM.",
6701,Can order from Tayda Electronics,
6703,"2649 is a substitute (new part), but stem may be slightly too narrow",
6710,Need better photo,
6722,Same as #13242 except for color,
6755,3.18.23 This part number shows as NLA on Yamaha site,
6782,"available at ya 11.8.23 , 11.29.23 Changed supplier to Not Available.",
6782,"If we can get more, tell Kayla to change to Yamaha please.",
6786,CHANGE TO NEW when restocking.,
6786,available at YA 11.8.23 KM,
6787,CHANGE TO NEW when restocking.,
6787,available at YA 11.8.23 KM,
6788,CHANGE TO NEW when restocking.,
6788,available at YA 11.8.23 KM,
6789,Change to NEW when re-stocking please,
6790,CHANGE TO NEW when restocking.,
6790,available at YA 11.8.23 KM,
6791,CHANGE TO NEW when restocking.,
6791,available at ya 11.8.23 KM,
6792,CHANGE TO NEW when restocking.,
6792,available at ya 11.8.23 KM,
6794,"5.10.23 Backordered, 1 on order cancelled 9.11.24 but new part number available KM 1/15/2025: Found one -MSt.",
6795,**DOES THIS MATCH PHOTO EXACTLY?**.,
6795,7/22/23 - Sub number IS AVAILABLE.,
6795,6.27.22 Yamaha gave sub # and confirmed that they are NLA.MM,
6800,"Identical to #1375, 1820 except for color.",
6800,- One used/unstocked upstairs in U1 4.,
6800,2.22.25 Cost increase from $1.07 to $1.29,
6803,Overflow in U1,
6804,"ADD PHOTO, check in as single buttons - or raise price and change description if they don't separate.",
6804,12.3.24-3.3.25 Roland shows as nla,
6805,12.7.24-3.3.25 Roland shows nla,
6806,"GIVE TO SAM for photos and make sure he has the Pick List and BO paperwork with it please - Set includes 3 PCBs, and probably contact strips, expect in 6-8 weeks 3.20",
6810,Backorder 12+ mos.,
6810,2.17.25 Cost decrease from $13.50 to $11.25,
6811,"For slim keys, not full-size , available at KO 11.8.23 changed supplier to KO KM",
6812,"For slim keys, not full-size , available at KO 11.8.23 changed supplier KM",
6813,"If ordering, change to NEW.",
6814,"When restocking, change to NEW.",
6815,"6.17.22 Notified martin-haminh@web.de, (wait list) that we now have two NEW parts.MM.",
6815,Now #10687 is now the other half of this previous part number.,
6816,Frequent Backorder 2 mos.,
6817,3 used ones upstairs not in stock,
6826,May be able to use #3762 as a replacement.,
6826,This is the cushion the hammer weights rest on.,
6827,Available at YA 11.8.23 KM,
6831,"Same transformer, but slightly different mount and ground wires from #5797",
6838,"Frequent Backorder 3+ mos  6.9.23 Yamaha verified nla , new part # 9.28.23 so changed supplier KM.",
6838,Backstock upstairs in U4 -MS,
6839,Change to NEW when ordering.,
6847,1 found 12.13.23,
6849,"Can sub #9034 for this - it is identical, with longer lead.",
6855,An 88-note keybed requires two of these strips.,
6855,"FREQUENT BACKORDER 7+ mos , LP-380U added 1.24.25 KM, M3 88 added 3.31",
6857,Frequent backorder 3 mos   11.24.24 3-22603 and 3-22631 still on bo,
6861,10/12/21 - Ordered on eBay 1.4.24 Five missing.MM,
6866,3.16.21 Price increase from $8.45 to $12.95  5.17.22 Price decrease from $ 12.95 to $ 6.90.MM,
6868,Order through eBay for $3 ea.,
6868,"6/29/18 Yamaha price decrease from $9.80 to $5.95 available at YA 11.8.23 KM  6.14.24 Was listed as eBay but maybe just order from Yamaha.MM, 5 in transit 11.15",
6872,Same as #6883 and #6882 except for indicator color.,
6878,Looks similar - but is different from #6088,
6882,Same as #6872 and #6883 except for indicator color.,
6883,Same as #6872 and #6882 except for indicator color.,
6884,"7.6.21 Ten on waitlist, putting one from NC in stock",
6886,one missing 3/22 KM,
6900,"nautilus 61 73 & 88, PA1000, PA5x & PA700 added 9.11.24 KM",
6901,"bo at ko 11.8.23 KM, nautilus 61 73 & 88, PA1000, PA5X & PA700 added 9.11.24 KM PS60 added 9.12",
6902,"nautilus 61 73 & 88, PA1000, PA5X & PA700 added 9.11.24 KM",
6903,"nautilus 61 73 & 88, PA1000, PA5X, & PA700 added 9.11.24 KM",
6904,"Overstock in U1 , bo at ko 11.8.23 KM, nautilus 61 73 & 88, PA1000, PA5X & PA700 added 9.11.24 KM, PS60 added 9.12",
6905,"nautilus 61, 73 & 88, PA1000, PA5X & PA700 added 9.11.24 KM",
6906,"CHECK IN AS #6906 AND #6907   ***Check in as 6906, 6907 and 3986 as needed***  9.8.22 Took thirty out of stock, listed for 6906 and 6907, but haven't taken apart.MM  , Frequent Lengthy Backorder 6+ mos, PA1000, PA700 & PA5X added 9.11.24 KM",
6907,"Frequent Lengthy Backorder 6 mos   Check in as #3986, #6906 and #6907, leave intact so we can use as needed.",
6907,"***Stored upstairs as #3986*** , PA1000, PA700 & PA5X added 9.11.24 KM",
6908,Same as #11557 except for color.,
6908,Frequent Backorder 5 mos      12.30.24 Two upstairs BOXED in U4 on 4th shelf,
6912,"7.7.22 This has been NLA, but is active again, w/ be in stock in Oct or Nov  7.7.22 Ordered 10 have 90 on wait list.",
6912,"11.01.22 Korg w/ only send 6, so they canceled 4.  rec'd 3/1/23 not on PO KM.",
6912,"8.6.24 Cost increase from $150.25 to $181, backordered.",
6912,2.17.25 Backordered,
6914,available at Korg so changed supplier 12.11.24 KM.,
6914,2.17.25 Backordered,
6928,CHANGE TO NEW and change price when restocking.,
6928,available at KO 11.8.23 KM,
6929,For Erica Synths Syntrx II,
6930,CHANGE TO NEW when restocking,
6932,7.16.22 510C6011 on Korg website is $158 and available today.MM,
6934,"7.16.22 510C6012, shown in Service Manual for Krome 73 is $122.25 and on BO at Korg today, for Item Request from dskeys63@gmail.com.MM",
6937,"TWO BOARDS COME UNDER THIS PART NUMBER (6937 AND 6938) MUST HAVE PAPERWORK PACKAGED WITH BOARD  Doc is 6584-6585-6586.pdf, PA700 added 9.9.24 KM",
6938,"CHECK IN AS #6937 and #6938  This double board cost is $23.50,  ***TWO BOARDS COME UNDER THIS PART NUMBER, 6937 AND 6938*** MUST HAVE PAPERWORK PACKAGED WITH BOARD***   Doc is 6584-6585-6586.pdf , cost increase from 11.75 to 23.50, price adjusted from 34.95 to 46.95 8.24.23 KM , cost increase from 23.50 to 28.50 10.11.23, PA700 added 9.9.24 KM",
6941,CHANGE TO NEW when restocking.,
6941,"Korg sells on Reverb for $5.50 , available at KO 11.8.23 KM lower price?",
6957,12/28/21 New part  Backorder 3+ mos.,
6965, ***One is in U4,
6974,Identical to #6618 except for color,
6979,Backorder was 3 mos 11.17.24 1-22507 still on BO.,
6979,11.17.24  Req'd eta from Yamaha per customer request to cancel due to long wait.,
6979,"11.18.24 Yamaha says late Dec or early Jan, emailed customer.MM.",
6979,"11.24.24 1-22507 in transit, eta 11/27/24",
6983,"Add numbers and letters from board please, to Web Text.",
6983,Frequent backorder 2 mos,
6988,"Frequent Backorder, PA3X added 9.5.24 KM",
6995,CHECK IN AS MULTIPLE PARTS shown above.,
6995,12.7.24 none avail,
6996,"2 used ones in bag, for shop use",
6997,Purchgased on eBay,
6998,comes with # 10142 (AMS-26051530),
7000,"Checked stock, there are 5.",
7000,"Extra stock is in U1 -TP 11.16.23 
Same as #8609",
7001,"This faceplate is identical in size, color and fit for all Proteus models, but is printed with the Proteus 2 logo.",
7002,"One upstairs with blemish, not in stock, $19.95.",
7002,"Same as #12117, exc for Emu logo.",
7003,"Same as 3265, 4409, 5513 except for color.",
7010,"Sweet Discrete pricing is 17% disc for 10-15 pcs, 24% disc for 16-40 pcs",
7012,We have 16 more unpopulated PCBs.,
7013,"2 used ones in bag, for shop use",
7020,Update price before stocking,
7026,Contains two #4795 strips,
7031,For use with Style 29W keys,
7032,For use with Style 29W keys,
7042,SP300 added 9.16.24 KM,
7043,CHANGE TO NEW when restocking,
7044,part # shows discontinued 9.7.23,
7045,"PA2X Pro added 8.29.24 KM, SP300 added 9.16",
7056,"Can substitute #7229, which is identical except for longer wiring.",
7058,Different from Juno-2 jack boards.,
7061,"Identical to #7268, exc for length of wiring.",
7065,"Similar to Juno-2 boards, but has one less button.",
7072,Same as #12588 except for color,
7073,"ADD PHOTO and dimensions and location, check to see if this matches something we already have.",
7073,1.21.25 Roland shows nla,
7074,"ADD PHOTO and dimensions and location, check to see if this matches something we already have.",
7074,1.21.25 Roland shows -3,
7075,Check to see if this matches something we already have.,
7075,Our cost is $10.85 plus shipping.,
7075,1.21.25-1.28.25 2 avail,
7079,CHANGE TO NEW when restocking,
7080,"Similar to #7982, but taller",
7081,"remove pots #3362, #3363, #3364, and #3365 and power adapter #3628 before stocking",
7087,"TR61, 76, and 88 have different main boards, according to Korg part numbers",
7088,"8.4.22 Revived part from USED to NEW, emailed to wait list.MM",
7089,part #s nla 1.29.25 supplier changed,
7099,"ADD PHOTO, NOTE COUNT, finish listing",
7101,"ADD PHOTO & location, let Sam know (maybe we already have this) 2.23.25 2-22806 still on bo, raised min from 2 to 6.",
7101,3.17.25 2-22806 and 6-22821 still on bo,
7108,Not for SP88X!,
7108,3.10.23 Frankie confirmed NLA.MM,
7109,"Not for SP88X!, nla 6.25.24 supplier changed",
7113,"Can order from AM&S, but very expensive!",
7116,Not exactly sure this is an A-taper pot - but it is definitely not linear,
7117,Overstock is in U1,
7118,Overstock is upstairs,
7122,CHANGE TO NEW when restocking,
7132,7.13.22 Bernadette confirmed NLA.MM,
7133,Lengthy backorder 3+ months  2.17.25-2.25.25 Backordered,
7134,4.22.22-4.10.23 Backordered.MM,
7135,*** TAKE A PHOTO OF THIS PART ***,
7137,*** CLIP MOUSER PART 5mm SHORTER ***,
7139,Do these fit Odyssey as well?,
7140,"ADD PHOTO, let Sam compare to see if it is something we already have.",
7140,"Reassigned this part number 6/25/24, SM.",
7143,"7.13.21 Seven on wait list, putting one in stock",
7145,"7.13.21 Six on wait list, putting two in stock",
7155,1/10/25 - ordered 10 on ebay.,
7155,SM,
7156,available at MO 11.8.23 changed supplier KM,
7157,available at MO 11.8.23 changed supplier KM,
7158,2/21/22 - Changed this part number from single switch to 10-pack.,
7158,SM,
7162,"This board has one BA662 chip (#4349), which is rare and sells for $57.95, plus two TMS3615 tone generator ICs.",
7162,It is worth sacrificing this board for those chips.,
7163,"This board has one BA662 chip (#4349), which is rare and sells for $57.95, plus one TMS3615 tone generator IC.",
7163,It is worth sacrificing this board for those chips.,
7168,"This board has one BA662 chip (#4349), which is rare and sells for $57.95, plus two TMS3615 tone generator ICs.",
7168,It is worth sacrificing this board for those chips.,
7170,"* NOTE* If we receive more, sell in individual groupings, with new part numbers.",
7172,CHANGE TO NEW WHEN RESTOCKING.,
7172,Not sure if this is available from AM&S.,
7172,(It is NOT part number AMS-25860),
7183,Screws for these are in the #7312 bin box.,
7184,"Lengthy backorder 5 mos , LP-380U added 1.24.25 KM, M3 88 added 3.31",
7189,Frequent Backorder 4 mos,
7190,Backorder 2+ mos.,
7190,3.17.25 7-22828 still on bo,
7191,FREQUENT LENGTHY BACKORDER.,
7191,", C8500 added 7.17.24 KM, overflow upstairs 12.2.24 CLP330 added 2.3.25  3.18.25 Three missing.",
7191,Overflow upstairs - MS,
7193,"10.21.23-11.24.23  Special Orders for this part are OK, so handle them over the phone or PP Invoice.",
7193,We can get all we want.,
7193,"ETA 3 weeks, changed from Discontinued to Active.MM.",
7193,11.24.23-12.7.23 Roland has 304.MM.,
7193,12.7.23 Req'd add two to PO # 22135.MM.,
7193,2.6.24 Roland has 281.,
7193,8.24.24-3.3.25 Roland shows nla,
7194,2.10.22 Price increase from $1.56 to $2.08.MM,
7198,Purchased from Peter Forrest.,
7198,*** BE SURE HARDWARE PACKAGE (STANDOFFS AND SCREWS) IS INCLUDED ***,
7199,9.4.24 Took most to Syntaur North.MM,
7202,"11.2.21 Price increase from $1.82 to $2.44, or 10/2.20 ea at Digikey.MM  11.2.21 No PO, ordered today.MM",
7203,BO was 2 mos,
7206,Wide button for key switch,
7207,2.7.24 Obsolete on Mouser,
7211,Frequent Backorder   1.4.23 One missing.MM.,
7212,"We can special order this knob through AM&S, but it is crazy expensive!",
7212,Customer price will be $18.95.,
7213,"GET THE WIRING DIAGRAM FOR THIS so we can make them, ADD PC CORD BEFORE PACKAGING, new part 3/28 KM ,  3.20.23 Cost decrease from $108.41 to $49.72, lowered price.MM , discontinued and nla from AMS - supplier changed 11.9.23 KM",
7216,*** ADD PHOTO WHEN WE RECEIVE THIS PART ***,
7220,Purchased on eBay,
7226,"8/31/20 Sold 17 in 2020 , MUST INCLUDE NUT",
7227,Backorder was 4 mos,
7229,"Identical to #7056, except for length of wiring harness.",
7236,"Available from InMusic in 2018, but expensive!",
7242,Is this photo missing a chip?,
7242,"If so, redo this when we have another available.",
7258,"Slightly smaller, but could work with PolySix, MonoPoly, maybe the DW8000 and DW6000",
7259,9/20-22 - emailed for a second time to get more of these.,
7259,"SM  ETA is October 10 that we will ship, we already have 5 of 6 that he ordered!",
7259,!MM,
7264,"Very similar to #7065 for Juno-1, but the Juno-2 board has an extra button.",
7266,Different from Juno-1 jack boards.,
7268,"Similar to #7061, but with longer wiring.",
7268,Can also work for Juno-1.,
7274,This may be available from AM&S,
7276,ADD PHOTO & DIMENSIONS & LOCATION,
7277,ADD PHOTO & LOCATION & DIMENSIONS.,
7277,See if we have a DuroFelt replacement for this.,
7277,"3.25.25 Casio canceled 1-22868, verified nla",
7278,ADD PHOTO & DIMENSIONS & LOCATION,
7280,*Sold 6 in 2020*,
7281,"5.10.23 Andrea says NLA, looking back to email re: Order # 21760, Frankie said there was only one, then NLA.",
7281,Tried to find elsewhere but no luck finding this display with the backlight.MM,
7282,Must be bought in pairs.,
7282,Frequent Backorder 10 weeks,
7283,"ADD PHOTO, not sure if its available 5.7.24 , 1 on order cancelled-nla 9.3.24  9.3.24 Reached out to Artesia-Pro for info on this part as suggested by Frankie.MM  Mark Special Order if we can get it, otherwise change to USED with updated price",
7285,May be available from AM&S,
7288,*** NEED A PHOTO OF THIS ITEM ***,
7290,Not sure where this is used - add this info if possible.,
7293,Overstock inU4,
7294,Overstock in U4,
7296,Overstock in U1,
7297,Overstock in U1,
7299,Overstock in U1,
7306,Overstock in U1,
7309,"Does weight need to be adjusted please?, in transit 11.4",
7310,ADD PHOTO,
7312,Screws for these are in the #7312 bin box.,
7313,6/15/24 - Ordered 4 on eBay,
7314,REPHOTO?,
7314,I think the photo shows a board without the EPROMs.,
7314,"6.23.21 Eighteen on wait list, putting one in stock from Perfect Circuit.",
7316,Overstock in U4(?,
7316,"- moved 6 from downstairs to HICK, 11/1/24)",
7321,5.31.23 We do not have and do not know where it came from.MM,
7331,Change to New when we sell out of Used stock,
7346,For Axiom Air 25/49/61,
7350,"Same as 6464, but without indicator line.",
7350,"5/14/20 Emailed Frankie that the knob arrived without the faceplate, he gave new part # that comes with faceplate.MM",
7350FP,THIS PART IS NOT SOLD INDIVIDUALLY,
7351,These are used in the Arp Sub-Oscillator kits.,
7351,"I hoped these would be a good sub for Yamaha CS knobs #5093 - but the shank inside the knob is too short, so it comes off too easily.",
7352,MUST GIVE TO NICK TO BE CONFIGURED.,
7352,2/15/25 - ordered 3 on eBay,
7353,*** TAKE PHOTO WHEN THIS PART IS RECEIVED ***,
7354,"For Remote SL 25, Compact 25, 37, Compact 49, 61  AVAILABLE and cost decrease from 42.96 to 38.26 8.16.23 KM ,   9.1.22 Verified nla.",
7354,8.16.23 Available again.,
7354,2 in U1 11.26.24,
7357,Backorder was 5 mos,
7358,3.23.21 Rec'd email from Yamaha that this part in NLA.MM,
7359,"FREQUENT BACKORDER 2+ mos 5.10.23 1-21759 LOST # 89842, so canceled, leaving 2-21759 on BO",
7360,"Frequent backorder 3 mos Identical to #10393, except for foam pad thickness.",
7360,Similar to #10393 except for color.,
7361,Identical to #3657 except for indicator color,
7363U,Discard this part number when these are sold.,
7364,"Fits onto #1295, #1593.",
7364,There are 22 used ones upstairs.,
7365,"3/8/20 Three on wait list, found one not in stock.MM",
7372,8.24.24 Roland shows -21.,
7372,10.29.24 Roland shows -79.,
7372,12.7.24 Roland shows -147.,
7372,12.14.24 Roland shows -169.,
7372,12.28.24 Roland shows -185,
7375,"Ordered from Electronic Surplus ($4.00), or find on eBay",
7393,"7/23/22 - Added CAE as supplier, since 5 on wait list.",
7393,Let's get one when possible.,
7393,(And change price for New!),
7393,SM.,
7393,2.5.24-3.3.25 Roland show nla,
7394,#7385 is 12-note strip,
7395,Mates with #7385 (12-note strip),
7396,"Identical to 1037, except for color.",
7397,CHANGE TO NEW when restocking from AM&S,
7398,5.26.23 Roland has five 7.7.23 4-21851 canceled by CAE.,
7398,11.9.23 10-21957 canceled by CAE.,
7398,9.18.24 Roland has 6.,
7398,10.13.24 None avail,
7400,"Almost identical to #11251, but slightly different components.",
7401,Backorder was 3 mos   12.5.24 1-22604 in transit,
7402,Frequent backorder,
7403,"6.13.21 Nine on wait list, 6.15.21 Frankie contacted UK, this is NLA.MM",
7404,9.16.22 Frankie says NLA.MM,
7405,"10.12.23 Frankie says NLA, after 1-22031 was the last one,MM",
7407,12.8.24 none avail,
7408,in transit 2.25,
7409,"Identical to #5454, #7410, #7839 except for color.",
7410,"Identical to #5454, #7409, #7839 except for color.",
7412,Frequest Backorder 7 mos,
7430,LET SAM CHECK THE KEYS if we get one of these.,
7430,"old part # nla, replacement part # cost increase from $64.70 to $103.82 price from $119 to $159 5.28.24 KM",
7431,*** TAKE PHOTO WHEN RECEIVED ***,
7432,*** TAKE PHOTO WHEN RECEIVED ***,
7433,*** TAKE PHOTO WHEN RECEIVED ***,
7434,*** ADD PHOTO WHEN AVAILABLE ***,
7435,4.30.21 Price increase from $41.49 to $48.40.,
7435,6.2.23 Cost with shipping is $55.,
7436,*** TAKE PHOTO WHEN AVAILABLE ***,
7438,10.3.24 Backordered  12.7.24 in transit,
7440,Frequent backorder 3 mos.,
7443,4.21.23 Cost increase $ .45,
7457,ADD WIRING LENGTH TO TECH NOTE.,
7457,Uses #3547 encoder.,
7457,"#5432 is same part, but with longer wiring.",
7462,"Physically the same as #3575, but different encoding +",
7463,4.21.23 Item request from timothyw@blackwateravs.com,
7467,Blue version of this (#1211) is Type B.,
7467,2 above pedals in showroom 3.21,
7470,This part can be used to replace a missing numbered switch cap.,
7471,KO-1 added 1.22.25 KM,
7472,Frequent Backorder 2 mos  2.17.25 Backordered,
7473,Not sure of where else to get these.,
7473,SM,
7474,"FREQUENT BACKORDER 11 mos  8.9.22 Competition sells for $5.50 and $5.95, so lowered price from 9.95 to $7.95.MM",
7475,NEED PHOTO OF THIS PART,
7476,nla 1.14.25 supplier changed KM,
7479,"CHANGE TO NEW when restocking, change price.",
7479,available at ya 11.8.23 KM,
7483,"available 11.8.23 KM , all on order cancelled by YA (4 PO 22110) 11.1.24 part # nla at YA",
7488,CHANGE TO NEW when restocking.,
7488,available at ya 11.8.23 KM,
7491,9.6.23 Frankie verified this part is not available separately.MM,
7497,From #11423 keybed.,
7497,"5 Used ones at Hickory, from unknown keyboard with K12W keys",
7498,From unknown keyboard with K12W keys,
7499,From unknown keyboard with K12W keys,
7500,From unknown keyboard that uses K12W keys,
7501,"6 used ones at Hickory, from #11423 keybed",
7507,2.6.24 21 avail.,
7507,5.29.24 12 avail.,
7507,7.1.24 9 avail.,
7507,10.29.24-2.15.25 none avail,
7518,"9.25.24 Yamaha canceled our order for this part, nla at ya supplier changed 9.25.24 KM",
7525,Get better photo,
7573,available at YA 11.8.23 KM,
7575,"1.8.23 Revived part, looking for P70 speaker.",
7576,Same as #3672 except color?,
7588,8.24.24-3.3.25 Roland shows nla,
7593,ADD PHOTO WHEN AVAILABLE,
7594,"Must be purchased in pairs   4.24.23 Cost increase from $109.56 to $114.52 , not billed for one 40675 on PO 21887",
7595,Used in Casio?,
7596,THIS IS A KIT OF 16 CAPS.,
7596,12.27.23.,
7596,"Mouser canceled # 108-00312-EV , 4 orphans on Kayla's desk 3.4.24",
7597,Frequent backorder 9+ mos   8.20.22 Third part number is available.MM  2.13.25 Canceled 2-22591 # 500362009101 and moved # 510360524045 to first pn listed,
7602,HOW LONG IS THE WIRING?,
7602,"Nick can build one of these to sell if it's 13"" (11/19/22)",
7603,Include washer and nut.,
7604,Include nut.,
7604,4.12.23 Cost increase from $1.86 to $2.29.MM,
7605,"1.19.21 Yamaha says this is NLA, no sub.MM",
7607,"One more used one is in U401 - put into stock, change to Used, and change price to $39.95 after new one sells.",
7607,Used in Dave Smith Instruments?,
7613,"Can buy on eBay, search Sharp LM320191   7.14.24-3.3.25 Roland shows nla.",
7613,Cost is $91.20,
7617,*Overstock upstairs*Cost decrease from $52.50 to $28.96.,
7617,2.6.24 Roland show NLA.,
7617,12.8.24 none avail,
7624,From DSI keybed.,
7630,Type A or B?,
7630,10-13-23 -2.6.24 Roland site shows NLA.MM,
7631,10-13-23-2.6.24 Roland site shows NLA.MM,
7632,What is pitch?,
7635,NEED NEW PIC.,
7635,7.14.24-12.28.24 Roland shows nla,
7638,For DSI keyboard?,
7640,For DSI keyboard.,
7650,Same as 1455 except for color.,
7662,ADD DIMENSIONS,
7663,ADD DIMENSIONS,
7668,early BX-3 added 7.3.24 KM,
7671,DVP1 added 7.31.24 KM,
7675,DVP1 added 7.31.24 KM,
7677,Add specs,
7679,These don't fit any specific gear...,
7679,Does not fit AX60 -TW,
7680,"Nine minimum order on Mouser , 8 missing PO 22363",
7684, Also used in EK-50.,
7684,Korg is selling for $5 on Reverb.,
7686,Can sub #11220,
7690,available at ya 11.8.23 KM - Seems mighty expensive!,
7690,SM,
7691, in transit 9.13,
7692,10.3.24 Yamaha verified nla,
7696,"10.4.21 Changed inventory to -1 from 2, two of this panel is missing.MM",
7702,"7.11.22 Part is active w Roland, so changed NLA to Roland/CAE.",
7702,12.8.24 none avail,
7705,Should we make a PCB to convert this to 20-pin?,
7706,From EPR Electronics,
7708,"Mouser lists this as a 10KAx2 pot, but it is 10KBx2.",
7710,"Very similar to 2342, but PCB connectors are configured differently.",
7713,Found on eBay,
7736,Mates with #1286 (12-note),
7737,"7.11.22 Part is active w Roland, so changed NLA to Roland/CAE.",
7737,12.8.24 none avail,
7738,"7.11.22 Part is active w Roland, so changed NLA to Roland/CAE.",
7738,12.8.24 none avail,
7740,Previous stock was 653-G5V-1-T90-DC5 (MO) - too small,
7742,FREQUENT BACKORDER 2 mos,
7766,"Identical to #1875, except for color",
7777,available at mo 11.8.23 KM,
7778,Backorder 3+ mos.,
7778,",",
7779,No info from Frankie on what function these jacks are in these models,
7780,PA900 added 9.12.24 KM,
7784,MAKE SURE PHOTO IS ACCURATE - we may want to replace it.,
7786,Ordered on eBay.,
7786,Korg sells for $5 on Reverb.,
7788,"Price increase from $3.33 to $3.69, so increased price $1.MM",
7790,4.26.23 Cost increase from $2.98 to $4.35,
7791,4.26.23  Cost from $.90 to $1.06,
7792,Frequent Backorder 10 mos 12.4.23-6.24.24 Backordered.,
7792,"8.13.24 Korg is asking how many we need for repairs re: 5-22449, replied that we have three repairs waiting.",
7792,"8.19.24 Korg emailed that they will supply three, so canceled 2 of 5 on PO 22499",
7803,12.19.23 Can't find last one for order.MM  1.11.24 This is on my desk.,
7803,I emailed Kou Yang to see if he might want it and emailed again 4.2.24.,
7803,No reply so put in stock with one customer waiting.,
7805,Frequent backorder 11 mos.,
7807,"5.26.24 Changed from NLA to Roland/CAE, listed on Roland site, none avail $ 66.20.",
7807,"Sub pn # 7621322000 is nla on Roland, Syntaur Part # 2357.",
7807,5.26.24-12.8.24 none avail at Roland,
7821,NEED PHOTO,
7835,"Can probably sub #1611 , cost increase from 1.85 to 2.32",
7836,One was sent to us from AM&S by error.,
7836,Don't know part number of what it is used on.,
7837,**2.20.24 Minimum order on Mouser is 64**,
7839,"Identical to #7409, #7410 except for color.",
7839,casio #10390800 prev #10193270  11.12.24 Available,
7846,PA900 added 9.12.24 KM.,
7846,1.29.25 Added Fantom-06/07/08.MM,
7847,4.8.24 Frankie verified NLA for 4 years,
7885,This is a good part to 3D print,
7913,Frequent Backorder 4 mos,
7916,12.29.23 Last purchaser # 150428 says Yamaha is aware of problems with this board.MM.,
7917,Can get 3D print from shapeways.com,
7919,"9 used in bin, not in stock",
7928,available at MO 11.9.23 KM change supplier,
7932,"6.5.23 Two in stock, but do not have a way to test them after multiple replacements, need to figure this out, so changed from Syntaur supplier to Not Available.MM , part # nla 10.19.23",
7933,"12/8/23 - One missing, changed stock to 0.",
7933,SM PA900 added 9.12.24 KM,
7944,"#3028 is almost identical, but not interchangeable 5.28.24 Roland has 11.",
7944,12.27.24-1.21.25 7 avail,
7945,CHANGE TO NEW and change price when restocking.,
7945,available at ya 11.9.23 KM,
7946,"CHECK WEIGHT, PLEASE.",
7946,"This is a used part, cost is for Yamaha new price.",
7946,6.5.24 Yamaha shows NLA,
7947,CHANGE TO NEW WHEN RESTOCKING.,
7947,available at YA 11.9.23,
7949,CHANGE TO NEW when restocking.,
7949,available at ya 11.9.23 KM,
7953,available at YA 11.9.23 KM,
7956,2.13.24 Casio canceled 1-22256.,
7956,2.13.24 Casio verified nla  3.25.25 Casio verified nla,
7958,"This display can be found on eBay, but it does not have the wiring.",
7969,Not sure what this works with.,
7980,"Frequent Backorder 10.17.24 Yamaha replied to RMA for this item that Order # 6371580 has been entered, but I do not see it on 24X7.",
7980,Shipped this part back today.MM,
7981,"2.20.24 Cost increase from $3.00 to $4.06, no price increase , 9.3.24 cost increase to 5.07 raised price KM",
7982,"Similar to #7080, but shorter",
7983, supplier changed 10.15.24 KM,
7984,in transit 12.11,
7989,ADD LOCAZTION.,
7989,3/26/25 - Tech has one to test,
7997,2 pieces,
8054,"4 used in bin also, but with plastic bushing",
